epoch,acc,loss,val_acc,val_loss
0,0.8787083309454222,0.4024005736224353,0.9683333396911621,0.11031780373305082
1,0.9617916658520699,0.11911608573670189,0.9777500102917354,0.07169758738794675
2,0.9738125100731849,0.08316508141967158,0.9840833445390066,0.05592064616891245
3,0.9791041793922584,0.06637348784133792,0.9866666754086812,0.047031070082448424
4,0.982333346704642,0.05635900625493377,0.9878333419561386,0.04118293015490053
5,0.9848958459993203,0.04737081135002275,0.9871666759252549,0.043359284937226523
6,0.9874583445489407,0.04057424355414696,0.9880000084638596,0.03769873585551977
7,0.9878958446284135,0.03786103426439998,0.9889166752497355,0.036408563844452145
8,0.9902083426713943,0.03250921323973065,0.9895000080267589,0.032667207911678514
9,0.9903750086824099,0.029250395037039804,0.98983334004879,0.033844169275835154
